scenario,step,load_kw,pv_kw,wind_kw,price,carbon_g_per_kwh,carbon_observed_g_per_kwh
2019-01-20,12,1534.0344465611759,365.9259259259259,59.88723647654846,0.065,303.5,306.5
2019-01-20,13,1517.0638777652503,317.77777777777777,69.17797025657788,0.064,304.0,303.5
2019-01-20,14,1499.4284825628865,217.03703703703704,66.82464454976304,0.05916,317.0,304.0
2019-01-20,15,1508.736052253023,83.85185185185185,71.7519202484066,0.055,339.5,317.0
2019-01-20,16,1599.4323704366084,2.962962962962963,70.37914691943128,0.0729,351.5,339.5
2019-01-20,17,1682.1857626064307,0.0,72.38927929400229,0.086,349.5,351.5
2019-01-20,18,1631.274056218654,0.0,75.94378166367053,0.0768,350.0,349.5
2019-01-20,19,1564.4415069398547,0.0,78.93446641608107,0.07292,353.5,350.0
2019-01-20,20,1477.0343299249641,0.0,72.51184834123222,0.061,332.5,353.5
2019-01-20,21,1369.682360716924,0.0,67.56005883314268,0.06,310.0,332.5
2019-01-20,22,1189.5493954356364,0.0,58.244811243667264,0.05843,299.0,310.0
2019-01-20,23,1099.2029858870185,0.0,55.47475077627063,0.05067,288.0,299.0
2019-01-21,0,1068.585980327359,0.0,48.95407746363785,0.05079,306.5,288.0
2019-01-21,1,1059.943237043661,0.0,44.51707795391404,0.055990000000000005,311.5,306.5
2019-01-21,2,1023.6227207340306,0.0,43.43847033829057,0.05052,311.0,311.5
2019-01-21,3,1003.118074724933,0.0,46.40464128125511,0.05007,310.5,311.0
2019-01-21,4,998.569262470355,0.0,45.93887890178134,0.0497,321.5,310.5
2019-01-21,5,981.108821585475,0.0,50.571988887073054,0.05806,358.0,321.5
2019-01-21,6,1213.903036429377,0.0,54.88641934956692,0.06883,379.0,358.0
2019-01-21,7,1510.7305314723378,0.0,62.240562183363295,0.07612999999999999,361.0,379.0
2019-01-21,8,1645.8302554333036,18.962962962962962,72.53636215067822,0.07792,356.0,361.0
2019-01-21,9,1683.4804245558105,87.7037037037037,82.85667592743913,0.07251,361.0,356.0
2019-01-21,10,1633.863380117414,231.1111111111111,94.54976303317535,0.06843,368.5,361.0
2019-01-21,11,1584.5262625869914,325.9259259259259,116.26899820232065,0.06445999999999999,364.0,368.5
2019-01-21,12,1559.0529139613548,339.25925925925924,134.1885929073378,0.06143,356.0,364.0
